record_id,date,year_month,day_name,machine_id,machine_model,city,payment_method,total_liters_sold,total_gross_sales_mxn,cash_received_mxn,change_given_mxn,estimated_tickets,avg_ticket_mxn,tank_capacity_per_product_l,reorder_point_l,stockout_flag,stockout_minutes_total,service_status,temperature_cdmx_c,is_weekend,notes,data_quality_issue_flag,intentional_issue_type,suggested_outlier_treatment,liters_des,revenue_des_mxn,closing_inventory_des_l,liters_det_ropa,revenue_det_ropa_mxn,closing_inventory_det_ropa_l,liters_det_blanca,revenue_det_blanca_mxn,closing_inventory_det_blanca_l,liters_multi,revenue_multi_mxn,closing_inventory_multi_l,liters_suav,revenue_suav_mxn,closing_inventory_suav_l,liters_lavat,revenue_lavat_mxn,closing_inventory_lavat_l,liters_det_oscura,revenue_det_oscura_mxn,closing_inventory_det_oscura_l,cash_net_mxn,cash_difference_mxn,expected_revenue_des_mxn,expected_revenue_det_ropa_mxn,expected_revenue_det_blanca_mxn,expected_revenue_multi_mxn,expected_revenue_suav_mxn,expected_revenue_lavat_mxn,expected_revenue_det_oscura_mxn,expected_total_gross_sales_mxn,sales_calculation_difference_mxn,analysis_month,total_liters_sold_iqr_outlier,total_gross_sales_mxn_iqr_outlier,cash_received_mxn_iqr_outlier,change_given_mxn_iqr_outlier,estimated_tickets_iqr_outlier,avg_ticket_mxn_iqr_outlier,stockout_minutes_total_iqr_outlier,temperature_cdmx_c_iqr_outlier,total_iqr_outlier_flags,drop_reason,drop_flag,outlier_treatment_decision,total_gross_sales_mxn_treated,total_liters_sold_treated
R000011,2025-01-11,2025-01,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,31,690,695,5,13,53.08,100,20,False,0,Operational,11.9,True,,False,,No issue,3,90,44,6,120,94,3,75,50,7,105,21,5,125,47,5.0,125,25,2,50,62,690,0,90,120,75,105,125,125.0,50,690.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,690,31
R000012,2025-01-12,2025-01,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,30,680,680,0,13,52.31,100,20,False,0,Operational,24.3,True,,False,,No issue,3,90,41,5,100,89,4,100,46,6,90,94,4,100,43,6.0,150,19,2,50,60,680,0,90,100,100,90,100,150.0,50,680.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,680,30
R000013,2025-01-13,2025-01,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,785,785,0,18,43.61,100,20,False,0,Operational,25.5,False,,False,,No issue,3,90,38,8,160,81,3,75,43,9,135,85,5,125,38,4.0,100,96,4,100,56,785,0,90,160,75,135,125,100.0,100,785.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,785,36
R000014,2025-01-14,2025-01,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,30,665,665,0,22,30.23,100,20,False,0,Operational,28.2,False,,False,,No issue,3,90,35,6,120,75,4,100,39,7,105,78,3,75,35,4.0,100,92,3,75,53,665,0,90,120,100,105,75,100.0,75,665.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,665,30
R000015,2025-01-15,2025-01,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,26,565,565,0,13,43.46,100,20,False,0,Operational,16.6,False,,False,,No issue,2,60,33,5,100,70,3,75,36,7,105,71,4,100,31,3.0,75,89,2,50,51,565,0,60,100,75,105,100,75.0,50,565.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,565,26
R000016,2025-01-16,2025-01,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,33,715,720,5,26,27.5,100,20,False,0,Operational,14.4,False,,False,,No issue,3,90,30,7,140,63,3,75,33,9,135,62,3,75,28,5.0,125,84,3,75,48,715,0,90,140,75,135,75,125.0,75,715.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,715,33
R000017,2025-01-17,2025-01,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,33,740,740,0,15,49.33,100,20,False,0,Operational,14.7,False,,False,,No issue,3,90,27,6,120,57,4,100,29,7,105,55,5,125,23,5.0,125,79,3,75,45,740,0,90,120,100,105,125,125.0,75,740.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,740,33
R000018,2025-01-18,2025-01,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,39,855,875,20,20,42.75,100,20,False,0,Operational,27.5,True,,False,,No issue,3,90,97,9,180,48,4,100,25,9,135,46,4,100,19,7.0,175,72,3,75,42,855,0,90,180,100,135,100,175.0,75,855.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,855,39
R000019,2025-01-19,2025-01,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,37,830,840,10,28,29.64,100,20,False,0,Operational,26.6,True,,False,,No issue,4,120,93,7,140,41,4,100,96,8,120,38,5,125,95,6.0,150,66,3,75,39,830,0,120,140,100,120,125,150.0,75,830.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,830,37
R000020,2025-01-20,2025-01,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,29,645,650,5,12,53.75,100,20,False,0,Operational,19.8,False,,False,,No issue,3,90,90,7,140,34,4,100,92,6,90,32,3,75,92,4.0,100,62,2,50,37,645,0,90,140,100,90,75,100.0,50,645.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,645,29
R000021,2025-01-21,2025-01,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,25,545,545,0,12,45.42,100,20,False,0,Operational,15.0,False,,False,,No issue,2,60,88,4,80,30,3,75,89,7,105,25,3,75,89,4.0,100,58,2,50,35,545,0,60,80,75,105,75,100.0,50,545.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,545,25
R000022,2025-01-22,2025-01,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,26,575,625,50,11,52.27,100,20,False,0,Operational,24.5,False,,False,,No issue,2,60,86,5,100,25,3,75,86,6,90,94,3,75,86,4.0,100,54,3,75,32,575,0,60,100,75,90,75,100.0,75,575.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,575,26
R000023,2025-01-23,2025-01,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,32,715,735,20,22,32.5,100,20,False,0,Operational,16.9,False,,False,,No issue,3,90,83,6,120,94,4,100,82,7,105,87,3,75,83,6.0,150,48,3,75,29,715,0,90,120,100,105,75,150.0,75,715.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,715,32
R000024,2025-01-24,2025-01,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,28,615,620,5,12,51.25,100,20,False,0,Operational,18.9,False,,False,,No issue,3,90,80,6,120,88,3,75,79,7,105,80,3,75,80,4.0,100,44,2,50,27,615,0,90,120,75,105,75,100.0,50,615.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,615,28
R000025,2025-01-25,2025-01,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,40,875,880,5,27,32.41,100,20,False,0,Operational,16.6,True,,False,,No issue,4,120,76,7,140,81,4,100,75,11,165,69,4,100,76,7.0,175,37,3,75,24,875,0,120,140,100,165,100,175.0,75,875.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,875,40
R000026,2025-01-26,2025-01,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,790,790,0,15,52.67,100,20,False,0,Operational,23.6,True,,False,,No issue,3,90,73,7,140,74,4,100,71,9,135,60,4,100,72,6.0,150,31,3,75,97,790,0,90,140,100,135,100,150.0,75,790.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,790,36
R000027,2025-01-27,2025-01,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,33,735,735,0,15,49.0,100,20,False,0,Operational,24.1,False,,False,,No issue,3,90,70,7,140,67,3,75,68,7,105,53,5,125,67,5.0,125,26,3,75,94,735,0,90,140,75,105,125,125.0,75,735.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,735,33
R000028,2025-01-28,2025-01,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,26,570,620,50,13,43.85,100,20,False,0,Operational,17.0,False,,False,,No issue,2,60,68,4,80,63,3,75,65,7,105,46,4,100,63,4.0,100,22,2,50,92,570,0,60,80,75,105,100,100.0,50,570.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,570,26
R000029,2025-01-29,2025-01,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,32,720,740,20,19,37.89,100,20,False,0,Operational,14.8,False,,False,,No issue,4,120,64,6,120,57,3,75,62,7,105,39,4,100,59,5.0,125,95,3,75,89,720,0,120,120,75,105,100,125.0,75,720.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,720,32
R000030,2025-01-30,2025-01,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,32,715,715,0,18,39.72,100,20,False,0,Operational,21.3,False,,False,,No issue,3,90,61,6,120,51,4,100,58,7,105,32,5,125,54,4.0,100,91,3,75,86,715,0,90,120,100,105,125,100.0,75,715.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,715,32
R000031,2025-01-31,2025-01,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,37,830,830,0,20,41.5,100,20,False,0,Operational,14.8,False,,False,,No issue,3,90,58,8,160,43,4,100,54,7,105,25,6,150,48,6.0,150,85,3,75,83,830,0,90,160,100,105,150,150.0,75,830.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,830,37
R000032,2025-02-01,2025-02,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,795,800,5,29,27.41,100,20,False,0,Operational,22.4,True,,False,,No issue,4,120,54,7,140,36,4,100,50,9,135,91,4,100,44,5.0,125,80,3,75,80,795,0,120,140,100,135,100,125.0,75,795.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,795,36
R000033,2025-02-02,2025-02,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,40,870,920,50,33,26.36,100,20,False,0,Operational,28.2,True,,False,,No issue,3,90,51,7,140,29,5,125,45,11,165,80,4,100,40,7.0,175,73,3,75,77,870,0,90,140,125,165,100,175.0,75,870.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,870,40
R000034,2025-02-03,2025-02,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,33,730,735,5,16,45.62,100,20,False,0,Operational,12.2,False,,False,,No issue,3,90,48,6,120,23,4,100,41,8,120,72,4,100,36,5.0,125,68,3,75,74,730,0,90,120,100,120,100,125.0,75,730.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,730,33
R000035,2025-02-04,2025-02,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,29,645,695,50,15,43.0,100,20,False,0,Operational,30.5,False,,False,,No issue,3,90,45,5,100,95,3,75,38,7,105,65,3,75,33,6.0,150,62,2,50,72,645,0,90,100,75,105,75,150.0,50,645.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,645,29
R000036,2025-02-05,2025-02,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,35,765,785,20,18,42.5,100,20,False,0,Operational,26.5,False,,False,,No issue,3,90,42,7,140,88,4,100,34,9,135,56,5,125,28,4.0,100,58,3,75,69,765,0,90,140,100,135,125,100.0,75,765.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,765,35
R000037,2025-02-06,2025-02,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,33,740,790,50,17,43.53,100,20,False,0,Operational,28.0,False,,False,,No issue,3,90,39,6,120,82,3,75,31,7,105,49,5,125,23,6.0,150,52,3,75,66,740,0,90,120,75,105,125,150.0,75,740.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,740,33
R000038,2025-02-07,2025-02,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,780,800,20,17,45.88,100,20,False,0,Operational,27.5,False,,False,,No issue,3,90,36,7,140,75,4,100,27,10,150,39,4,100,96,6.0,150,46,2,50,64,780,0,90,140,100,150,100,150.0,50,780.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,780,36
R000039,2025-02-08,2025-02,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,32,725,725,0,15,48.33,100,20,False,0,Operational,16.3,True,,False,,No issue,4,120,32,7,140,68,3,75,97,6,90,33,5,125,91,4.0,100,42,3,75,61,725,0,120,140,75,90,125,100.0,75,725.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,725,32
R000040,2025-02-09,2025-02,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,33,730,740,10,15,48.67,100,20,False,0,Operational,28.3,True,,False,,No issue,4,120,28,5,100,63,4,100,93,9,135,24,3,75,88,6.0,150,36,2,50,59,730,0,120,100,100,135,75,150.0,50,730.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,730,33
R000041,2025-02-10,2025-02,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,25,540,540,0,11,49.09,100,20,False,0,Operational,22.9,False,,False,,No issue,2,60,26,5,100,58,3,75,90,7,105,17,3,75,85,3.0,75,33,2,50,57,540,0,60,100,75,105,75,75.0,50,540.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,540,25
R000042,2025-02-11,2025-02,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,34,750,770,20,24,31.25,100,20,False,0,Operational,17.1,False,,False,,No issue,3,90,23,7,140,51,4,100,86,8,120,92,4,100,81,5.0,125,28,3,75,54,750,0,90,140,100,120,100,125.0,75,750.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,750,34
R000043,2025-02-12,2025-02,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,32,705,705,0,13,54.23,100,20,False,0,Operational,25.2,False,,False,,No issue,4,120,96,5,100,46,3,75,83,9,135,83,3,75,78,5.0,125,95,3,75,51,705,0,120,100,75,135,75,125.0,75,705.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,705,32
R000044,2025-02-13,2025-02,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,775,785,10,17,45.59,100,20,False,0,Operational,16.9,False,,False,,No issue,3,90,93,8,160,38,4,100,79,10,150,73,3,75,75,5.0,125,90,3,75,48,775,0,90,160,100,150,75,125.0,75,775.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,775,36
R000045,2025-02-14,2025-02,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,37,805,805,0,16,50.31,100,20,False,0,Operational,23.5,False,,False,,No issue,3,90,90,7,140,31,4,100,75,10,150,63,4,100,71,6.0,150,84,3,75,45,805,0,90,140,100,150,100,150.0,75,805.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,805,37
R000046,2025-02-15,2025-02,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,31,675,685,10,16,42.19,100,20,False,0,Operational,26.0,True,,False,,No issue,3,90,87,5,100,26,3,75,72,9,135,54,3,75,68,5.0,125,79,3,75,42,675,0,90,100,75,135,75,125.0,75,675.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,675,31
R000047,2025-02-16,2025-02,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,31,685,685,0,13,52.69,100,20,False,0,Operational,29.5,True,,False,,No issue,3,90,84,5,100,21,3,75,69,8,120,46,4,100,64,5.0,125,74,3,75,39,685,0,90,100,75,120,100,125.0,75,685.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,685,31
R000048,2025-02-17,2025-02,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,33,725,725,0,15,48.33,100,20,False,0,Operational,13.6,False,,False,,No issue,3,90,81,7,140,93,4,100,65,8,120,38,4,100,60,4.0,100,70,3,75,36,725,0,90,140,100,120,100,100.0,75,725.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,725,33
R000049,2025-02-18,2025-02,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,27,595,595,0,14,42.5,100,20,False,0,Operational,22.2,False,,False,,No issue,2,60,79,6,120,87,3,75,62,6,90,32,4,100,56,4.0,100,66,2,50,34,595,0,60,120,75,90,100,100.0,50,595.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,595,27
R000050,2025-02-19,2025-02,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,30,670,675,5,21,31.9,100,20,False,0,Operational,20.4,False,,False,,No issue,3,90,76,7,140,80,3,75,59,6,90,26,3,75,53,5.0,125,61,3,75,31,670,0,90,140,75,90,75,125.0,75,670.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,670,30
R000051,2025-02-20,2025-02,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,27,605,605,0,12,50.42,100,20,False,0,Operational,17.1,False,,False,,No issue,3,90,73,5,100,75,3,75,56,6,90,20,3,75,50,4.0,100,57,3,75,28,605,0,90,100,75,90,75,100.0,75,605.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,605,27
R000052,2025-02-21,2025-02,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,32,715,715,0,22,32.5,100,20,False,0,Operational,14.3,False,,False,,No issue,3,90,70,6,120,69,3,75,53,7,105,93,4,100,46,6.0,150,51,3,75,25,715,0,90,120,75,105,100,150.0,75,715.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,715,32
R000053,2025-02-22,2025-02,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,31,680,680,0,21,32.38,100,20,False,0,Operational,21.6,True,,False,,No issue,3,90,67,6,120,63,3,75,50,8,120,85,3,75,43,5.0,125,46,3,75,97,680,0,90,120,75,120,75,125.0,75,680.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,680,31
R000054,2025-02-23,2025-02,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,32,690,740,50,25,27.6,100,20,False,0,Operational,23.9,True,,False,,No issue,3,90,64,7,140,56,2,50,48,9,135,76,4,100,39,4.0,100,42,3,75,94,690,0,90,140,50,135,100,100.0,75,690.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,690,32
R000055,2025-02-24,2025-02,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,25,560,570,10,12,46.67,100,20,False,0,Operational,18.5,False,,False,,No issue,3,90,61,4,80,52,3,75,45,6,90,70,3,75,36,4.0,100,38,2,50,92,560,0,90,80,75,90,75,100.0,50,560.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,560,25
R000056,2025-02-25,2025-02,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,34,745,745,0,25,29.8,100,20,False,0,Operational,22.2,False,,False,,No issue,3,90,58,6,120,46,4,100,41,9,135,61,5,125,31,4.0,100,34,3,75,89,745,0,90,120,100,135,125,100.0,75,745.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,745,34
R000057,2025-02-26,2025-02,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,25,545,555,10,11,49.55,100,20,False,0,Operational,28.5,False,,False,,No issue,2,60,56,4,80,42,3,75,38,7,105,54,3,75,28,4.0,100,30,2,50,87,545,0,60,80,75,105,75,100.0,50,545.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,545,25
R000058,2025-02-27,2025-02,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,25,550,570,20,16,34.38,100,20,False,0,Operational,15.5,False,,False,,No issue,3,90,53,4,80,38,3,75,35,7,105,47,3,75,25,3.0,75,27,2,50,85,550,0,90,80,75,105,75,75.0,50,550.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,550,25
R000059,2025-02-28,2025-02,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,33,715,765,50,22,32.5,100,20,False,0,Operational,17.4,False,,False,,No issue,3,90,50,5,100,33,4,100,31,10,150,37,4,100,96,4.0,100,96,3,75,82,715,0,90,100,100,150,100,100.0,75,715.0,0.0,2025-02,False,False,False,False,False,False,False,False,0,,False,Normal,715,33
R000060,2025-03-01,2025-03,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,44,975,980,5,29,33.62,100,20,False,0,Operational,24.6,True,,False,,No issue,5,150,45,10,200,23,4,100,27,10,150,27,6,150,90,6.0,150,90,3,75,79,975,0,150,200,100,150,150,150.0,75,975.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,975,44
R000061,2025-03-02,2025-03,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,32,695,705,10,15,46.33,100,20,False,0,Operational,29.3,True,,False,,No issue,3,90,42,6,120,94,3,75,24,9,135,18,3,75,87,5.0,125,85,3,75,76,695,0,90,120,75,135,75,125.0,75,695.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,695,32
